idx	doc	status	cwd	timeout_s	raw_command	executed_command	log	note
20	docs/GOLD_RELEASE_AI_REGRESSION_REPORT.md	FAIL(6)	/Users/simonluke/dev/scholesa	240	curl https://us-central1-studio-3328096157-e3f79.cloudfunctions.net/healthCheck	curl https://us-central1-studio-3328096157-e3f79.cloudfunctions.net/healthCheck	/Users/simonluke/dev/scholesa/reports/docs_all_commands_regression_20260223165210_logs/20_curl-https-us-central1-studio-3328096157-e3f79-cloudfunctions-net-healthcheck.log	
21	docs/GOLD_RELEASE_AI_REGRESSION_REPORT.md	FAIL(6)	/Users/simonluke/dev/scholesa	240	curl https://us-central1-studio-3328096157-e3f79.cloudfunctions.net/triggerTelemetryAggregation	curl https://us-central1-studio-3328096157-e3f79.cloudfunctions.net/triggerTelemetryAggregation	/Users/simonluke/dev/scholesa/reports/docs_all_commands_regression_20260223165210_logs/21_curl-https-us-central1-studio-3328096157-e3f79-cloudfunctions-net-triggertelemet.log	
22	docs/GOLD_RELEASE_AI_REGRESSION_REPORT.md	FAIL(1)	/Users/simonluke/dev/scholesa	240	gcloud firestore databases update --project=studio-3328096157-e3f79 --database='(default)' --enable-pitr --quiet	gcloud firestore databases update --project=studio-3328096157-e3f79 --database='(default)' --enable-pitr --quiet	/Users/simonluke/dev/scholesa/reports/docs_all_commands_regression_20260223165210_logs/22_gcloud-firestore-databases-update-project-studio-3328096157-e3f79-database-defau.log	
23	docs/GOLD_RELEASE_AI_REGRESSION_REPORT.md	INVALID	-	-	gcloud firestore export gs://studio-3328096157-e3f79.firebasestorage.app/firestore-backups/ai-gold-... --collection-ids=interactionEvents,orchestrationStates,mvlEpisodes,interventions,telemetryEvents,telemetryAggregates,aiDrafts	-	/Users/simonluke/dev/scholesa/reports/docs_all_commands_regression_20260223165210_logs/23_invalid.log	template placeholder present ("..." or "<timestamp>")
24	docs/GOLD_RELEASE_AI_REGRESSION_REPORT.md	INVALID	-	-	gcloud firestore export gs://studio-3328096157-e3f79.firebasestorage.app/firestore-backups/ai-gold-pitr-... --snapshot-time=<timestamp> --collection-ids=	-	/Users/simonluke/dev/scholesa/reports/docs_all_commands_regression_20260223165210_logs/24_invalid.log	template placeholder present ("..." or "<timestamp>")
25	docs/GOLD_RELEASE_AI_REGRESSION_REPORT.md	FAIL(1)	/Users/simonluke/dev/scholesa	240	gcloud firestore databases create --project=studio-3328096157-e3f79 --database=restore-smoke --location=us-central1 --type=firestore-native --quiet	gcloud firestore databases create --project=studio-3328096157-e3f79 --database=restore-smoke --location=us-central1 --type=firestore-native --quiet	/Users/simonluke/dev/scholesa/reports/docs_all_commands_regression_20260223165210_logs/25_gcloud-firestore-databases-create-project-studio-3328096157-e3f79-database-resto.log	
26	docs/GOLD_RELEASE_AI_REGRESSION_REPORT.md	INVALID	-	-	gcloud firestore import gs://studio-3328096157-e3f79.firebasestorage.app/firestore-backups/ai-gold-... --project=studio-3328096157-e3f79 --database=restore-smoke --collection-ids=	-	/Users/simonluke/dev/scholesa/reports/docs_all_commands_regression_20260223165210_logs/26_invalid.log	template placeholder present ("..." or "<timestamp>")
27	docs/GOLD_RELEASE_AI_REGRESSION_REPORT.md	FAIL(1)	/Users/simonluke/dev/scholesa	240	gcloud firestore databases delete --project=studio-3328096157-e3f79 --database=restore-smoke --quiet	gcloud firestore databases delete --project=studio-3328096157-e3f79 --database=restore-smoke --quiet	/Users/simonluke/dev/scholesa/reports/docs_all_commands_regression_20260223165210_logs/27_gcloud-firestore-databases-delete-project-studio-3328096157-e3f79-database-resto.log	
28	docs/SDT_DEPLOYMENT_GUIDE.md	FAIL(1)	/Users/simonluke/dev/scholesa	240	firebase firestore:indexes	npx --yes firebase-tools firestore:indexes --project studio-3328096157-e3f79	/Users/simonluke/dev/scholesa/reports/docs_all_commands_regression_20260223165210_logs/28_npx-yes-firebase-tools-firestore-indexes-project-studio-3328096157-e3f79.log	
29	docs/SDT_DEPLOYMENT_GUIDE.md	PASS	/Users/simonluke/dev/scholesa	600	npm install	npm install	/Users/simonluke/dev/scholesa/reports/docs_all_commands_regression_20260223165210_logs/29_npm-install.log	
30	docs/SDT_DEPLOYMENT_GUIDE.md	FAIL(1)	/Users/simonluke/dev/scholesa	240	firebase deploy --only functions	npx --yes firebase-tools deploy --only functions --project studio-3328096157-e3f79	/Users/simonluke/dev/scholesa/reports/docs_all_commands_regression_20260223165210_logs/30_npx-yes-firebase-tools-deploy-only-functions-project-studio-3328096157-e3f79.log	
31	docs/SDT_DEPLOYMENT_GUIDE.md	INVALID	-	-	gcloud run deploy scholesa-web \	-	/Users/simonluke/dev/scholesa/reports/docs_all_commands_regression_20260223165210_logs/31_invalid.log	incomplete command ending with continuation slash
32	docs/SDT_TELEMETRY_DEPLOYMENT_GUIDE.md	FAIL(1)	/Users/simonluke/dev/scholesa	180	firebase emulators:start	npx --yes firebase-tools emulators:start --project studio-3328096157-e3f79	/Users/simonluke/dev/scholesa/reports/docs_all_commands_regression_20260223165210_logs/32_npx-yes-firebase-tools-emulators-start-project-studio-3328096157-e3f79.log	
33	docs/SDT_TELEMETRY_DEPLOYMENT_GUIDE.md	FAIL(1)	/Users/simonluke/dev/scholesa	120	npm run start	npm run start	/Users/simonluke/dev/scholesa/reports/docs_all_commands_regression_20260223165210_logs/33_npm-run-start.log	
34	docs/STRIPE_SETUP_GUIDE.md	FAIL(1)	/Users/simonluke/dev/scholesa	240	firebase functions:secrets:set STRIPE_SECRET_KEY	npx --yes firebase-tools functions:secrets:set STRIPE_SECRET_KEY	/Users/simonluke/dev/scholesa/reports/docs_all_commands_regression_20260223165210_logs/34_npx-yes-firebase-tools-functions-secrets-set-stripe-secret-key.log	
35	docs/STRIPE_SETUP_GUIDE.md	FAIL(1)	/Users/simonluke/dev/scholesa	240	firebase functions:secrets:set STRIPE_SECRET_KEY --data-file=- <<< "sk_live_your_secret_key"	npx --yes firebase-tools functions:secrets:set STRIPE_SECRET_KEY --data-file=- <<< "sk_live_your_secret_key"	/Users/simonluke/dev/scholesa/reports/docs_all_commands_regression_20260223165210_logs/35_npx-yes-firebase-tools-functions-secrets-set-stripe-secret-key-data-file-sk-live.log	
36	docs/STRIPE_SETUP_GUIDE.md	FAIL(1)	/Users/simonluke/dev/scholesa	240	firebase functions:secrets:get STRIPE_SECRET_KEY	npx --yes firebase-tools functions:secrets:get STRIPE_SECRET_KEY --project studio-3328096157-e3f79	/Users/simonluke/dev/scholesa/reports/docs_all_commands_regression_20260223165210_logs/36_npx-yes-firebase-tools-functions-secrets-get-stripe-secret-key-project-studio-33.log	
37	docs/STRIPE_SETUP_GUIDE.md	FAIL(1)	/Users/simonluke/dev/scholesa	240	firebase functions:secrets:set STRIPE_WEBHOOK_SECRET	npx --yes firebase-tools functions:secrets:set STRIPE_WEBHOOK_SECRET	/Users/simonluke/dev/scholesa/reports/docs_all_commands_regression_20260223165210_logs/37_npx-yes-firebase-tools-functions-secrets-set-stripe-webhook-secret.log	
38	docs/STRIPE_SETUP_GUIDE.md	FAIL(1)	/Users/simonluke/dev/scholesa	240	firebase functions:log --only stripeWebhook	npx --yes firebase-tools functions:log --only stripeWebhook --project studio-3328096157-e3f79	/Users/simonluke/dev/scholesa/reports/docs_all_commands_regression_20260223165210_logs/38_npx-yes-firebase-tools-functions-log-only-stripewebhook-project-studio-332809615.log	
39	docs/75_REPO_FILE_MAP_REQUIRED.md	FAIL(1)	/Users/simonluke/dev/scholesa/apps/empire_flutter/app	240	flutter analyze	flutter analyze	/Users/simonluke/dev/scholesa/reports/docs_all_commands_regression_20260223165210_logs/39_flutter-analyze.log	
40	docs/75_REPO_FILE_MAP_REQUIRED.md	FAIL(1)	/Users/simonluke/dev/scholesa/apps/empire_flutter/app	480	flutter test	flutter test	/Users/simonluke/dev/scholesa/reports/docs_all_commands_regression_20260223165210_logs/40_flutter-test.log	
